Date,Open,High,Low,Close,Volume,Adj Close
28-12-2007,191.64,193.28,191.22,191.72,2973500,191.72
27-12-2007,192.97,193.2,190.23,190.32,4163100,190.32
26-12-2007,190.05,193.61,189.15,193.6,2395800,193.6
24-12-2007,189.61,189.94,186.61,189.7,1284300,189.7
21-12-2007,182.99,188.3,182.51,188.3,4633500,188.3
20-12-2007,179.9,181.9,178.18,181.9,4579600,181.9
19-12-2007,177.19,181.21,177.19,178.67,4961400,178.67
18-12-2007,179.05,179.74,174.93,178.22,4348700,178.22
17-12-2007,180.81,181.31,175.82,176.85,6029300,176.85
14-12-2007,184,184.69,181.33,181.45,4746200,181.45
13-12-2007,185.33,186.05,182.44,185.86,3545500,185.85
12-12-2007,185.15,186.55,182.97,186,5353200,185.99
11-12-2007,185.32,187,180.57,180.95,6039800,180.92
10-12-2007,182.75,185.68,182.75,185.35,3822600,185.32
07-12-2007,184.08,184.08,181.53,182.75,4048300,182.72
06-12-2007,176.6,183.69,176.5,183.57,7081000,183.54
05-12-2007,178.64,180.73,175.62,176.65,6268200,176.62
04-12-2007,177.36,177.41,175.08,175.95,4641600,175.92
03-12-2007,176,179.17,175.35,178.7,4770100,178.67
30-11-2007,176.5,178.45,175.39,176.15,6154200,176.08
29-11-2007,175.39,177.83,174.36,176.85,7212400,176.77
28-11-2007,175.33,175.67,172.2,173.2,7563400,173.08
27-11-2007,181.45,182.84,179.1,181.65,9416700,171.1
26-11-2007,187.4,190.61,183.96,184.3,8997100,173.6
23-11-2007,182.58,187.49,181.81,187.39,2785900,176.51
21-11-2007,183.31,186.33,181.12,181.9,7984300,171.34
20-11-2007,180.75,186.41,180.75,185.06,8061900,174.31
19-11-2007,182.15,182.74,178.02,179.1,7345000,168.7
16-11-2007,180.14,182.34,177.67,182.24,8452300,171.66
15-11-2007,182,183.81,176.41,177.95,10783000,167.62
14-11-2007,186.49,187.32,182.87,183.53,6104100,172.87
13-11-2007,179.5,184.84,177.69,183.85,10379700,173.17
12-11-2007,186.99,186.99,178.53,178.6,13147500,168.23
09-11-2007,189.99,193.14,188.43,189.19,6086900,178.2
08-11-2007,192.3,195.79,188.26,192.3,9205400,181.13
07-11-2007,197.18,198.02,191.53,191.53,9972100,180.4
06-11-2007,193.5,198.19,193.26,198.19,5872800,186.67
05-11-2007,190.41,192.99,189.9,191.61,5437600,180.48
02-11-2007,191.1,194.12,188.39,193.9,8743500,182.62
01-11-2007,188.66,194.26,186.25,189.04,10249900,178.05
31-10-2007,188.05,191.38,185.36,190.1,10548400,179.02
30-10-2007,192,192,185.63,185.71,9093000,174.74
29-10-2007,194.2,194.69,191.85,193.63,5132700,182.2
26-10-2007,195.98,196.6,190.41,192.22,6689400,180.87
25-10-2007,194.06,195.01,191.08,193.5,8698000,182.07
24-10-2007,190.6,193.83,189.01,192.85,11088700,181.46
23-10-2007,187.46,191.97,186.1,191.97,10640200,180.63
22-10-2007,184,187.8,182.37,185.13,12699300,174.2
19-10-2007,195.2,195.4,186.12,186.78,17583500,175.75
18-10-2007,197.56,199.79,196.88,199.09,8019600,187.33
17-10-2007,200.64,201.35,195.83,197.4,7873700,185.74
16-10-2007,200.49,201.35,199.17,200.15,6307400,188.33
15-10-2007,202.51,204.62,200.53,201.11,7159900,189.23
12-10-2007,199.25,201.05,197.5,199.81,6322500,188.01
11-10-2007,199.62,204.14,195.68,198.33,14048000,186.62
10-10-2007,190.3,198,190.3,197.82,10991400,186.14
09-10-2007,189.5,192.21,188.62,192,6094000,180.66
08-10-2007,190.73,190.77,188.3,188.72,6457200,177.58
05-10-2007,193.25,193.37,190.98,192.6,6565500,181.23
04-10-2007,192,194.45,189.13,193.7,7111900,182.26
03-10-2007,192.8,194.1,191.28,192.6,5861800,181.23
02-10-2007,193.9,194.2,191.02,193.38,7141400,181.96
01-10-2007,191.85,195.68,191.14,194.89,6858700,183.38
28-09-2007,194.58,196.49,191.43,191.93,7224500,180.6
27-09-2007,192.4,194.42,191.89,193.98,5848200,182.52
26-09-2007,192.99,193.43,187.82,190.63,9594200,179.37
25-09-2007,191.15,191.65,189.17,191.3,6872600,180
24-09-2007,195.16,196.18,191.88,193.2,7573700,181.79
21-09-2007,193.98,196.56,193.12,195.5,7838600,183.95
20-09-2007,191.18,193.78,190.19,193.02,6387800,181.62
19-09-2007,189.78,192.17,189.6,191.42,11872600,180.12
18-09-2007,183.03,188.61,181.7,188.04,8690400,176.94
17-09-2007,182.9,184.99,182.1,182.33,5696200,171.56
14-09-2007,183.5,184.95,182.68,184.26,4508500,173.38
13-09-2007,183.75,185.62,183.22,184.84,5180300,173.92
12-09-2007,183.5,185.05,182.55,183.68,7953200,172.83
11-09-2007,181.99,184.47,179.18,183.36,10350900,172.52
