Date,Open,High,Low,Close,Volume,Adj Close
1/18/2008,72.54,73.16,70.95,71.46,8986000,71.46
1/17/2008,73.7,73.7,71.84,72.1,10016800,72.1
1/16/2008,74.35,74.85,73.28,73.54,9636900,73.54
1/15/2008,76.02,76.55,74.71,74.83,9342100,74.83
1/14/2008,78.25,78.39,76.65,76.92,7762500,76.92
1/11/2008,79.01,79.17,76.69,77.78,8061200,77.78
1/10/2008,78.74,79.79,78.22,79.57,7874900,79.57
1/9/2008,78,79.32,77.98,78.74,9288800,78.74
1/8/2008,77.85,78.99,77.17,77.94,7153800,77.94
1/7/2008,75.86,77.44,75.7,77.32,7584800,77.32
1/4/2008,75.29,76.4,75.29,75.55,5493200,75.55
1/3/2008,75.39,76.84,75.29,75.78,4728400,75.78
1/2/2008,76.41,76.41,74.71,75.29,4899100,75.29
12/31/2007,76.93,76.93,75.75,75.9,3707600,75.9
12/28/2007,77,77.32,76.57,77.03,2406600,77.03
12/27/2007,77,77.86,76.59,76.7,3429200,76.7
12/26/2007,77.98,77.98,76.92,77.28,3244500,77.28
12/24/2007,77.35,78,77.01,77.71,1444900,77.71
12/21/2007,77.82,77.88,76.77,77.35,7732500,77.35
12/20/2007,77.2,77.22,76.11,76.49,4365200,76.49
12/19/2007,77.19,77.39,76.32,76.79,5039400,76.79
12/18/2007,78.08,78.08,76.52,77.02,7384200,77.02
12/17/2007,78.89,78.89,77.2,77.37,6318700,77.37
12/14/2007,78.59,79,78.37,78.46,6740700,78.46
12/13/2007,78.3,78.78,77.53,78.69,4995600,78.69
12/12/2007,77.76,78.57,77.2,78.09,7472100,78.09
12/11/2007,77.5,78.09,76.34,76.48,5377900,76.48
12/10/2007,77.37,77.57,76.91,77.28,3942100,77.28
12/7/2007,77.17,77.75,76.91,77,3359900,77
12/6/2007,76.24,77.17,76.04,77.03,3788500,77.03
12/5/2007,75.81,76.79,75.62,76.27,6580300,76.27
12/4/2007,76.28,77,76.24,76.65,4260500,76.28
12/3/2007,77.51,77.51,76.37,76.58,4424500,76.21
11/30/2007,76.72,77.18,76.04,77.18,7287700,76.8
11/29/2007,77.07,77.07,76.09,76.54,4523000,76.17
11/28/2007,76.09,77.41,75.47,77.16,6729800,76.78
11/27/2007,75.16,76.13,74.44,75.92,6342300,75.55
11/26/2007,75.66,76.41,74.51,74.69,6032900,74.32
11/23/2007,75.69,75.69,74.76,75.51,2283400,75.14
11/21/2007,74.42,76.29,74.42,75.04,7706300,74.67
11/20/2007,75,75.58,73.97,74.84,8165000,74.47
11/19/2007,73.83,75.4,73.55,75.08,7842900,74.71
11/16/2007,74.21,74.39,73.16,74.15,6092900,73.79
11/15/2007,73.91,74.86,73.38,73.58,5205200,73.22
11/14/2007,73.9,74.96,72.86,74.06,6225000,73.7
11/13/2007,73.19,73.42,72.1,73.34,5741400,72.98
11/12/2007,73.2,73.69,72.5,72.57,4951000,72.21
11/9/2007,73.6,74.23,72.81,73.48,6694900,73.12
11/8/2007,72.4,73.75,72,73.5,6819000,73.14
11/7/2007,73.32,73.32,72.19,72.34,4909100,71.99
11/6/2007,72.82,73.89,72.76,73.49,4810600,73.13
11/5/2007,73.56,73.56,72.62,72.76,6661600,72.4
11/2/2007,73.63,73.63,72.37,72.98,5073000,72.62
11/1/2007,73.49,73.9,72.39,72.39,4960600,72.04
10/31/2007,74.04,74.3,72.85,73.72,4810900,73.36
10/30/2007,73.3,74.32,73.1,73.84,4961900,73.48
10/29/2007,72.49,73.87,72.17,73.7,5955000,73.34
10/26/2007,72.46,72.46,71.5,72.34,4133300,71.99
10/25/2007,72,72.37,71.62,71.98,4707800,71.63
10/24/2007,71.18,71.9,70.94,71.8,5084400,71.45
10/23/2007,71.27,71.58,70.71,71.53,4878200,71.18
10/22/2007,70.03,71.22,69.98,71.17,5464300,70.82
10/19/2007,71.6,71.85,70.35,70.4,7392900,70.06
10/18/2007,72.07,72.44,71.71,71.88,3426100,71.53
10/17/2007,72.02,72.79,71.61,72.11,4837700,71.76
10/16/2007,71.06,72.05,71.05,71.87,5704300,71.52
10/15/2007,71.65,71.97,70.79,71.35,7043100,71
10/12/2007,71.74,72.47,71.4,71.78,5750600,71.43
10/11/2007,73.8,74.1,70.82,71.77,12367700,71.42
10/10/2007,73.46,74.19,73.1,73.6,5326500,73.24
10/9/2007,73.4,73.69,72.93,73.21,7024100,72.85
10/8/2007,73.5,73.95,73.4,73.91,2371900,73.55
10/5/2007,74.14,74.19,73.24,73.74,5698200,73.38
10/4/2007,73.01,73.88,73.01,73.87,4463700,73.51
10/3/2007,73.6,73.7,73.2,73.47,5139100,73.11
10/2/2007,74.12,74.25,73.34,73.76,6144100,73.4
10/1/2007,73.54,74.24,73.5,74.01,7216500,73.65
9/28/2007,72.63,73.29,72.5,73.26,6706500,72.9
9/27/2007,72.3,72.85,72.23,72.62,5488400,72.26
9/26/2007,71.37,72.54,71.33,72.23,6429300,71.88
9/25/2007,70.85,71.73,70.75,71.22,5708000,70.87
9/24/2007,71.46,71.9,70.95,71.25,8124000,70.9
9/21/2007,71.46,71.99,71.03,71.44,7783400,71.09
9/20/2007,70.9,71.45,70.83,71.03,5230100,70.68
9/19/2007,71,71.35,70.08,71.11,6961000,70.76
9/18/2007,70,71.1,69.71,70.88,6007600,70.53
9/17/2007,69.36,70.06,69.12,69.8,5095900,69.46
9/14/2007,69.47,70.27,69.4,69.56,4850700,69.22
9/13/2007,69.87,70.48,69.6,69.88,6851300,69.54
9/12/2007,69.65,69.97,69.37,69.58,5477900,69.24
9/11/2007,69.34,69.99,69.02,69.87,6585900,69.53
9/10/2007,68.05,68.84,68.02,68.46,4644200,68.13
9/7/2007,68,68.62,67.68,67.98,5439500,67.65
9/6/2007,67.64,69.05,67.32,68.56,4787700,68.22
9/5/2007,67.82,68.22,66.63,67.94,4537400,67.61
9/4/2007,68.34,68.9,68.17,68.61,4591600,67.9
8/31/2007,68.23,68.73,67.5,68.03,6216200,67.33
8/30/2007,67.71,68.26,67.61,67.86,3953200,67.16
8/29/2007,67.71,68.29,67.34,68.19,3789000,67.49
8/28/2007,68,68.18,67.34,67.51,4927800,66.81
8/27/2007,67.91,68.39,67.75,68.1,3175100,67.4
8/24/2007,68.07,68.39,67.83,68.22,3995100,67.52
8/23/2007,68.88,69.02,67.44,67.91,6499900,67.21
8/22/2007,68.63,68.9,67.8,68.8,7342300,68.09
8/21/2007,68.31,68.82,68.1,68.45,4848700,67.74
8/20/2007,69.19,69.65,68.15,68.61,4963400,67.9
8/17/2007,69.68,69.82,68.28,69.38,8667400,68.66
8/16/2007,66.51,68.57,66.5,68.37,9704700,67.66
8/15/2007,66.91,68.52,66.8,67.34,6099700,66.64
8/14/2007,68.35,68.55,66.83,67.16,5052700,66.47
8/13/2007,68.05,68.67,67.2,68.08,5473000,67.38
8/10/2007,67.68,68.63,67.2,67.95,7648500,67.25
8/9/2007,69.45,70.25,68.5,68.5,8567200,67.79
8/8/2007,68.67,70.17,68.51,69.94,6706800,69.22
8/7/2007,68.19,69.83,67.95,69.16,9067700,68.45
8/6/2007,67.11,68.55,66.75,68.51,7561300,67.8
8/3/2007,66.81,67.59,66.43,66.47,6114100,65.78
8/2/2007,66.99,67.22,66.25,66.81,5264700,66.12
8/1/2007,65.11,66.74,65.1,66.43,6558600,65.74
7/31/2007,66.05,66.5,65.56,65.62,6964200,64.94
7/30/2007,66.78,68.9,65.13,65.9,7404700,65.22
7/27/2007,67.15,67.28,65.63,65.66,8881700,64.98
7/26/2007,67.45,68.25,66.4,66.84,10338300,66.15
7/25/2007,66.82,68.96,66.82,68.32,11364700,67.61
7/24/2007,66,66.9,65.61,66.26,8252100,65.58
7/23/2007,65.02,66.87,64.75,66.59,10956800,65.9
7/20/2007,65.2,65.2,64.25,64.67,11559400,64
7/19/2007,66.22,66.52,65.25,65.47,9939200,64.79
7/18/2007,66.27,66.55,65.6,66.13,7537600,65.45
7/17/2007,67.13,67.25,66.25,66.4,24336200,65.71
7/16/2007,66.61,67.25,66.56,66.99,4474400,66.3
7/13/2007,67,67,66.26,66.85,4891400,66.16
7/12/2007,66.26,67,66,66.94,5630200,66.25
7/11/2007,65.58,66.21,65.47,66.11,4928700,65.43
7/10/2007,66.05,66.55,65.84,65.87,7152600,65.19
7/9/2007,66.05,66.44,66,66.05,4156600,65.37
7/6/2007,65.92,66.42,65.65,66.22,3851100,65.54
7/5/2007,65.74,66.51,65.68,65.91,5679200,65.23
7/3/2007,65.48,65.71,65.04,65.59,3470800,64.91
7/2/2007,65.38,66,65,65.3,7159200,64.63
6/29/2007,65.31,65.61,64.36,64.85,6917900,64.18
6/28/2007,65.18,65.71,64.7,65.25,5104800,64.58
6/27/2007,64.57,65.54,64.25,65.17,5194400,64.5
6/26/2007,65.02,65.2,64.51,64.66,7752200,63.99
6/25/2007,64.7,65.2,64.33,64.65,5993100,63.98
6/22/2007,65.58,65.98,64.71,64.86,7719100,64.19
6/21/2007,65.52,66.07,65.5,65.88,4326500,65.2
6/20/2007,66.12,66.42,65.52,65.52,4750000,64.84
6/19/2007,66.38,66.39,65.52,65.8,6368000,65.12
6/18/2007,66.69,66.9,66.54,66.59,3496500,65.9
6/15/2007,67.16,67.76,66.66,66.68,7758200,65.99
6/14/2007,66.47,67.09,66.35,66.89,5174500,66.2
6/13/2007,66.08,66.42,65.54,66.39,5708300,65.7
6/12/2007,65.96,66.64,65.77,66.03,6423100,65.35
6/11/2007,66.3,66.61,65.98,66.04,5067400,65.36
6/8/2007,66.21,66.64,65.83,66.61,6997000,65.92
6/7/2007,66.96,67.16,66.29,66.35,7122300,65.66
6/6/2007,67.22,67.5,67,67.06,5435400,66.37
6/5/2007,67.77,68.36,67.59,67.62,5889000,66.55
6/4/2007,68,68.7,68,68.31,3721200,67.23
6/1/2007,68.65,68.96,68.35,68.7,4965300,67.61
5/31/2007,68.51,68.91,68.26,68.33,5697400,67.25
5/30/2007,68.2,68.76,68.06,68.57,5645400,67.49
5/29/2007,68.66,69,68.33,68.48,5001900,67.4
5/25/2007,68.38,69,68.38,68.82,4080800,67.73
5/24/2007,68.74,69.06,68.37,68.45,6077800,67.37
5/23/2007,68.75,68.92,68.54,68.69,4412100,67.6
5/22/2007,68.83,69,68.37,68.67,6329400,67.58
5/21/2007,68.5,69.41,68.39,69.03,7068300,67.94
5/18/2007,68.77,69.64,68.69,69.48,8369100,68.38
5/17/2007,68.45,68.71,68.13,68.49,5715700,67.41
5/16/2007,67.44,68.8,67.27,68.64,8944800,67.55
5/15/2007,67.04,67.59,66.9,67.45,6784700,66.38
5/14/2007,66.71,67,66.45,66.79,4923000,65.73
5/11/2007,66.35,66.85,66.19,66.8,3675000,65.74
5/10/2007,67.01,67.17,66.32,66.35,4311600,65.3
5/9/2007,67.15,67.49,67.04,67.17,3391100,66.11
5/8/2007,67.2,67.6,67.1,67.15,3268600,66.09
5/7/2007,67.54,67.69,67.3,67.48,2398000,66.41
5/4/2007,67.43,67.6,67.22,67.42,3246300,66.35
5/3/2007,67.08,67.72,67.05,67.31,5184200,66.25
5/2/2007,66.8,67.1,66.51,67.02,5458600,65.96
5/1/2007,66.15,66.51,65.97,66.4,4108400,65.35
4/30/2007,66.19,66.72,66.07,66.09,5503500,65.04
4/27/2007,65.85,66.57,65.78,66.29,4524700,65.24
4/26/2007,67.4,67.4,66.31,66.41,6385600,65.36
4/25/2007,66.77,67.24,66.3,66.98,5911200,65.92
4/24/2007,66.56,66.86,66.13,66.41,4577300,65.36
4/23/2007,66.56,66.96,66.55,66.59,4419700,65.54
4/20/2007,66.25,66.82,66.25,66.65,8037100,65.6
4/19/2007,65.89,66.03,65.55,66.03,5284200,64.99
4/18/2007,65.55,65.98,65.52,65.92,5901300,64.88
4/17/2007,64.68,66.01,64.44,65.8,12026600,64.76
4/16/2007,64.4,64.69,64.31,64.56,6314100,63.54
4/13/2007,64.4,64.59,64,64.4,4947500,63.38
4/12/2007,63.9,64.31,63.65,64.16,8138300,63.15
4/11/2007,63.24,63.42,63,63.21,5395600,62.21
4/10/2007,62.95,63.46,62.87,63.41,6447100,62.41
4/9/2007,63.6,63.75,62.96,62.99,6847400,61.99
4/5/2007,63.63,63.83,63.43,63.68,4372600,62.67
4/4/2007,63.45,63.84,63.34,63.73,5054200,62.72
4/3/2007,63.7,63.8,63.27,63.4,5588600,62.4
4/2/2007,63.15,63.7,63.12,63.39,4596000,62.39
3/30/2007,63.94,64,62.9,63.56,5079200,62.55
3/29/2007,62.97,63.67,62.57,63.59,4953200,62.58
3/28/2007,62.75,63.33,62.67,62.89,7390100,61.9
3/27/2007,63.5,63.5,62.87,62.95,6602800,61.95
3/26/2007,64.02,64.04,63.32,63.89,5320700,62.88
3/23/2007,63.85,64.16,63.76,64.09,3149500,63.08
3/22/2007,63.77,64.33,63.5,64.11,4558500,63.1
3/21/2007,63.22,64.3,63.18,64.18,4800200,63.16
3/20/2007,62.69,63.51,62.66,63.4,4345300,62.4
3/19/2007,62.81,63.2,62.75,62.84,5506100,61.85
3/16/2007,63.77,63.77,62.28,62.57,6687700,61.58
3/15/2007,62.73,63.44,62.61,62.99,6198200,61.99
3/14/2007,62.91,63,61.89,62.69,5619900,61.7
3/13/2007,63.49,63.7,62.01,62.16,6438000,61.18
3/12/2007,62.82,63.32,62.7,63.17,3652200,62.17
3/9/2007,63.15,63.15,62.62,62.88,6075400,61.89
3/8/2007,63,63.24,62.57,63.05,5168700,62.05
3/7/2007,63.1,63.17,62.61,62.75,4346500,61.76
3/6/2007,62.96,63.32,62.89,63.26,5539700,61.96
3/5/2007,62.93,63.2,62.76,62.77,6917500,61.48
3/2/2007,63.41,63.66,62.84,62.93,6344400,61.64
3/1/2007,62.75,63.72,62.5,63.43,8967300,62.13
2/28/2007,62.57,63.46,62.51,63.15,7139700,61.86
2/27/2007,64.39,65,62.5,62.76,8262000,61.47
2/26/2007,64.85,64.91,64.38,64.49,4021600,63.17
2/23/2007,64.43,64.68,64.23,64.58,3385000,63.26
2/22/2007,64.91,65,64.23,64.66,5618700,63.34
2/21/2007,64.41,65.21,64.4,65.02,5729900,63.69
2/20/2007,64.42,64.76,64.23,64.61,3994700,63.29
2/16/2007,64.27,64.95,64.13,64.62,6386100,63.3
2/15/2007,63.26,64.52,63.25,64.08,4701500,62.77
2/14/2007,63.8,63.96,63.35,63.35,6885900,62.05
2/13/2007,63.79,64.14,63.41,63.81,4969500,62.5
2/12/2007,63.99,64,63.56,63.72,4961100,62.41
2/9/2007,62.56,64.15,62.56,63.91,7276500,62.6
2/8/2007,63.25,64.11,62.8,63.31,13901100,62.01
