Date,Open,High,Low,Close,Volume,Adj Close
28-12-2007,94.45,94.97,93.53,94.1,2098800,94.1
27-12-2007,94.06,94.47,93.79,93.93,2412200,93.93
26-12-2007,95.08,95.08,93.86,94.8,3023300,94.8
24-12-2007,94.01,95.65,94.01,95.55,1216700,95.55
21-12-2007,93.23,94.81,93.23,94.36,2924900,94.35
20-12-2007,93.18,93.36,91.61,92.7,3659000,92.69
19-12-2007,93.6,93.7,92.54,92.8,3125100,92.79
18-12-2007,93.53,94.28,92.02,93.72,5318000,93.71
17-12-2007,92.29,93.68,92.21,92.76,6385700,92.75
14-12-2007,93.84,94.27,92.81,93.18,2844200,93.17
13-12-2007,94.48,95.3,93.62,94.75,3995900,94.74
12-12-2007,96.8,98.14,94.08,95.3,5626900,95.29
11-12-2007,98.77,99.26,95.31,95.4,5957100,95.3
10-12-2007,98.94,98.95,98.01,98.65,1234200,98.55
07-12-2007,98.27,98.98,97.89,98.78,3538300,98.68
06-12-2007,97.48,98.46,94.08,98.15,3536000,98.05
05-12-2007,97.7,98.47,97.04,98,3863900,97.9
04-12-2007,96,97.54,95.35,97.05,3667900,96.95
03-12-2007,96.81,97.55,94.1,96.52,2993500,96.42
30-11-2007,96.13,97.9,96.13,96.98,5953200,96.88
29-11-2007,95.8,96.24,95.04,95.73,4101200,95.63
28-11-2007,94.5,96.9,93.81,96.58,11632900,96.48
27-11-2007,92.93,93.71,92.13,93.35,4654100,93.24
26-11-2007,95.08,95.5,92,92,5973000,91.78
23-11-2007,93.33,94.82,93.11,94.25,3846800,94.02
21-11-2007,92.31,93.37,91.67,92.4,5996600,92.18
20-11-2007,92.7,94.43,91.38,93.2,16136700,92.98
19-11-2007,93.8,94.15,92.41,92.7,5940500,92.48
16-11-2007,94.84,95.02,93.36,94.76,5950700,94.53
15-11-2007,94.4,95.81,93.91,94.55,5995700,94.3
14-11-2007,96.99,97.28,94.72,94.72,6280200,94.47
13-11-2007,93.92,96.2,93.76,96.2,7253500,95.95
12-11-2007,92,94.38,91.72,92.6,8468300,92.35
09-11-2007,93.12,93.3,91.25,91.46,9774700,91.21
08-11-2007,94.84,95.4,92.07,94.15,7980500,93.89
07-11-2007,94.82,96.2,94.27,94.36,8345100,94.1
06-11-2007,95.5,95.7,94.02,95.5,5917000,95.22
05-11-2007,95.1,95.62,94.04,94.85,4584600,94.56
02-11-2007,97.1,97.1,94.9,96.2,6800100,95.91
01-11-2007,98.37,98.37,96,96.17,6907100,95.88
31-10-2007,99.52,99.54,97.53,99.1,6998200,98.8
30-10-2007,99.25,99.71,98.83,99.12,3453200,98.82
29-10-2007,99.22,99.94,99.01,99.44,3028200,99.14
26-10-2007,98.9,99.33,97.83,98.96,4631100,98.66
25-10-2007,97.65,98.83,96.59,97.8,6764400,97.5
24-10-2007,96.94,97.53,95.43,97.4,7571800,97.11
23-10-2007,98.2,98.48,96.15,97.9,7343500,97.6
22-10-2007,95.88,97.9,95.56,97.61,5945000,97.31
19-10-2007,98.52,98.52,96.26,96.48,5767000,96.19
18-10-2007,98.65,98.74,97.64,98.35,3620800,98.05
17-10-2007,100.42,100.76,98.02,99,4717000,98.69
16-10-2007,100.5,100.5,99.1,99.68,3626800,99.35
15-10-2007,101.22,102.14,100.11,100.85,4756000,100.51
12-10-2007,102.1,102.45,101.69,102.1,2383700,101.76
11-10-2007,102.3,104.24,101.48,101.75,8453300,101.4
10-10-2007,101.86,102.35,101.38,101.8,4104200,101.45
09-10-2007,101.87,101.87,100.37,101.48,3120600,101.13
08-10-2007,101.75,101.92,101.08,101.65,2012100,101.3
05-10-2007,101.65,102.74,100.84,101.85,4181600,101.5
04-10-2007,101.63,101.65,100.17,100.4,2181200,100.05
03-10-2007,100.2,101.91,100.05,100.85,4249700,100.49
02-10-2007,99.61,100.48,99.6,100.47,3159000,100.11
01-10-2007,99,100.22,98.69,99.87,6219100,99.51
28-09-2007,100.15,100.56,99.9,100.16,2709900,99.8
27-09-2007,100.47,100.65,99.94,100.15,3804400,99.79
26-09-2007,100.23,100.59,99.54,100.35,4139700,99.99
25-09-2007,99.26,99.95,98.58,99.8,8033500,99.44
24-09-2007,102.06,102.52,101.08,101.4,3405100,101.03
21-09-2007,102.5,102.69,101.85,101.99,4780100,101.62
20-09-2007,103.8,103.8,101.55,101.9,8582700,101.53
19-09-2007,104.5,105.1,103.42,103.7,7077000,103.32
18-09-2007,100.97,105,100.76,105,7970500,104.62
17-09-2007,100.34,100.5,99.68,100.05,4330400,99.69
14-09-2007,99.05,101.01,98.93,100.85,3807100,100.48
13-09-2007,99.27,100.86,98.8,99.9,7356700,99.54
12-09-2007,97.86,99.1,97.86,98.49,6150300,98.13
11-09-2007,96.77,98.58,96.74,98.4,6789400,98.03
10-09-2007,97.46,97.49,95.85,96.45,5329400,96.09
07-09-2007,97.67,98.18,96.69,96.97,8891600,96.6
06-09-2007,100.53,100.53,98.85,99.3,3043000,98.92
05-09-2007,99.8,99.99,98.23,99.35,14305100,98.97
04-09-2007,101.2,101.6,100.64,100.95,8811500,100.57
31-08-2007,100.81,102.75,100.48,101.95,5141600,101.56
30-08-2007,99,100.55,99,99.94,3736200,99.56
29-08-2007,98.02,100.6,97.87,100.55,5920300,100.17
