"","Date","Open","High","Low","Close","Adj_Close","Volume"
"1","Jul 14, 2017","154.01","154.62","153.40","154.24","154.24","3,214,300"
"2","Jul 13, 2017","153.70","154.19","153.19","153.63","153.63","2,476,100"
"3","Jul 12, 2017","153.48","154.24","153.05","153.70","153.70","3,097,900"
"4","Jul 11, 2017","153.26","153.65","152.05","153.19","153.19","3,447,500"
"5","Jul 10, 2017","152.91","153.89","152.63","153.42","153.42","3,206,200"
"6","Jul 07, 2017","152.62","153.49","152.14","152.94","152.94","2,460,100"
"7","Jul 06, 2017","153.36","153.83","152.23","152.36","152.36","2,757,500"
"8","Jul 05, 2017","155.77","155.89","153.63","153.67","153.67","3,564,400"
"9","Jul 03, 2017","153.58","156.03","153.52","155.58","155.58","2,822,500"
"10","Jun 30, 2017","154.28","154.50","153.14","153.83","153.83","3,571,500"
"11","Jun 29, 2017","155.35","155.74","153.62","154.13","154.13","3,262,200"
"12","Jun 28, 2017","155.15","155.55","154.78","155.32","155.32","2,221,000"
"13","Jun 27, 2017","155.00","155.34","154.50","154.75","154.75","2,386,500"
"14","Jun 26, 2017","154.71","155.75","154.63","155.23","155.23","2,153,500"
"15","Jun 23, 2017","154.34","154.68","153.80","154.11","154.11","3,282,200"
"16","Jun 22, 2017","154.55","154.99","153.69","154.40","154.40","2,376,500"
"17","Jun 21, 2017","155.79","155.79","153.39","153.79","153.79","3,959,700"
"18","Jun 20, 2017","154.48","155.39","154.25","154.95","154.95","4,481,700"
"19","Jun 19, 2017","155.51","155.86","154.54","154.84","154.84","4,629,500"
"20","Jun 16, 2017","154.23","155.42","152.97","155.38","155.38","6,742,000"
"21","Jun 15, 2017","153.29","154.69","153.29","154.22","154.22","4,654,300"
"22","Jun 14, 2017","153.97","154.94","152.94","153.81","153.81","3,049,100"
"23","Jun 13, 2017","155.44","155.48","154.15","154.25","154.25","3,523,500"
"24","Jun 12, 2017","154.19","157.20","154.02","155.18","155.18","6,471,500"
"25","Jun 09, 2017","152.00","154.26","151.88","154.10","154.10","4,361,500"
"26","Jun 08, 2017","151.00","152.82","150.92","152.10","152.10","3,709,000"
"27","Jun 07, 2017","153.05","154.20","150.80","150.98","150.98","4,865,700"
"28","Jun 06, 2017","152.00","152.89","152.00","152.37","152.37","3,797,200"
"29","Jun 05, 2017","151.82","152.93","151.68","152.41","152.41","3,975,100"
"30","Jun 02, 2017","153.07","153.20","151.80","152.05","152.05","3,585,700"
"31","Jun 01, 2017","152.80","152.87","151.63","152.67","152.67","2,918,100"
"32","May 31, 2017","152.03","152.80","151.65","152.63","152.63","3,543,400"
"33","May 30, 2017","151.95","152.67","151.59","151.73","151.73","3,666,000"
"34","May 26, 2017","152.85","153.00","152.06","152.49","152.49","2,443,300"
"35","May 25, 2017","153.25","153.73","152.95","153.20","153.20","2,582,700"
"36","May 24, 2017","152.21","152.76","151.23","152.51","152.51","3,732,400"
"37","May 23, 2017","152.57","153.68","151.92","152.03","152.03","2,564,500"
"38","May 22, 2017","152.10","152.84","151.60","152.64","152.64","3,302,100"
"39","May 19, 2017","151.01","152.46","150.89","151.98","151.98","5,643,000"
"40","May 18, 2017","150.86","151.33","150.11","150.78","150.78","3,274,200"
"41","May 17, 2017","153.30","154.14","150.89","150.93","150.93","5,191,500"
"42","May 16, 2017","151.66","153.99","151.66","153.68","153.68","5,513,700"
"43","May 15, 2017","150.62","151.83","150.45","151.51","151.51","4,245,500"
"44","May 12, 2017","150.30","151.26","150.00","150.37","150.37","3,715,300"
"45","May 11, 2017","151.05","151.15","149.79","150.65","150.65","5,627,900"
"46","May 10, 2017","151.65","152.37","151.13","151.25","151.25","4,999,900"
"47","May 09, 2017","152.60","153.10","151.56","152.11","152.11","6,853,000"
"48","May 08, 2017","152.80","153.47","152.20","153.03","153.03","7,492,000"
"49","May 08, 2017","1.5 Dividend",NA,NA,NA,NA,NA
"50","May 05, 2017","153.52","155.78","153.00","155.05","153.55","12,521,300"
"51","May 04, 2017","158.89","159.14","158.36","159.05","157.51","4,280,600"
"52","May 03, 2017","158.74","159.45","158.52","158.63","157.10","3,993,300"
"53","May 02, 2017","159.44","159.49","158.64","159.10","157.56","3,208,200"
"54","May 01, 2017","160.05","160.42","158.70","158.84","157.30","4,935,300"
"55","Apr 28, 2017","160.50","160.59","159.70","160.29","158.74","4,154,100"
"56","Apr 27, 2017","160.29","160.48","159.63","160.32","158.77","4,122,600"
"57","Apr 26, 2017","160.53","161.10","159.89","160.06","158.51","4,327,800"
"58","Apr 25, 2017","161.78","162.04","160.38","160.39","158.84","4,860,400"
"59","Apr 24, 2017","161.29","161.57","160.42","160.75","159.19","5,320,600"
"60","Apr 21, 2017","162.05","162.11","160.38","160.38","158.83","5,607,800"
"61","Apr 20, 2017","161.32","162.40","160.50","162.30","160.73","6,486,800"
"62","Apr 19, 2017","161.76","162.64","159.60","161.69","160.13","19,284,300"
"63","Apr 18, 2017","170.79","171.69","169.83","170.05","168.40","6,345,500"
"64","Apr 17, 2017","169.75","171.30","169.62","171.10","169.44","3,720,200"
